Sharing Economy Firm,Incumbent Firms,Ticker,Exchange,CI,Market Index,ISF,Date_End(t=1),Date_End(t=12),Date_End(t=24),Date_End(t=3),Date_End(t=36),Date_End(t=6),SP_End(t=1),SP_End(t=12),SP_End(t=24),SP_End(t=3),SP_End(t=36),SP_End(t=6),SP_Start(t=1),SP_Start(t=12),SP_Start(t=24),SP_Start(t=3),SP_Start(t=36),SP_Start(t=6),Volume_End(t=1),Volume_End(t=12),Volume_End(t=24),Volume_End(t=3),Volume_End(t=36),Volume_End(t=6),Volume_Start(t=1),Volume_Start(t=12),Volume_Start(t=24),Volume_Start(t=3),Volume_Start(t=36),Volume_Start(t=6),S&P500_End(t=1),S&P500_End(t=12),S&P500_End(t=24),S&P500_End(t=3),S&P500_End(t=36),S&P500_End(t=6),S&P500_Start(t=1),S&P500_Start(t=12),S&P500_Start(t=24),S&P500_Start(t=3),S&P500_Start(t=36),S&P500_Start(t=6),% Change in Share Price (t=1),% Change in Share Price (t=3),% Change in Share Price (t=6),% Change in Share Price (t=12),% Change in Share Price (t=24),% Change in Share Price (t=36),% Change in Volume (t=1),% Change in Volume (t=3),% Change in Volume (t=6),% Change in Volume (t=12),% Change in Volume (t=24),% Change in Volume (t=36),% Change in S&P500 (t=1),% Change in S&P500 (t=3),% Change in S&P500 (t=6),% Change in S&P500 (t=12),% Change in S&P500 (t=24),% Change in S&P500 (t=36),NASDAQ,NYSE,Other,Sharing Firm Introduced,Relatedness with Sharing Firm
Airbnb,Marriott International,MAR,NASDAQ,1,IXIC,0,8/31/08,8/31/08,8/31/08,8/31/08,8/31/08,8/31/08,26.3029,26.3029,26.3029,26.3029,26.3029,26.3029,24.1584,41.4171,35.1141,30.6852,29.4684,31.7947,2756931,2756931,2756931,2756931,2756931,2756931,3808057,1691184,1567547,3861316,5814058,3165477,1282.83,1282.83,1282.83,1282.83,1282.83,1282.83,1267.38,1473.99,1303.82,1400.38,1220.33,1330.63,8.876829591,-14.28147772,-17.2726901,-36.49265641,-25.09305379,-10.74201518,-27.60268557,-28.60125926,-12.90630133,63.01780291,75.87549209,-52.58163919,1.219050324,-8.394150159,-3.592283355,-12.96888039,-1.6098848,5.121565478,1,0,0,No,Closely Related
Airbnb,Marriott International,MAR,NASDAQ,1,IXIC,1,9/30/08,8/31/09,8/31/10,11/30/08,8/31/11,2/28/09,24.3262,22.4513,30.1416,15.6549,27.599,13.2027,26.3029,26.3029,26.3029,26.3029,26.3029,26.3029,8810031,3111839,3918942,1496529,3761589,6908523,2756931,2756931,2756931,2756931,2756931,2756931,1166.36,1020.63,1049.33,896.24,1218.89,735.09,1282.83,1282.83,1282.83,1282.83,1282.83,1282.83,-7.515140916,-40.4822282,-49.80515456,-14.64325226,14.59420824,4.927593535,219.5593579,-45.71757509,150.5874467,12.87330006,42.14871537,36.44117317,-9.079145327,-30.13571557,-42.69778537,-20.43918524,-18.20194414,-4.984292541,1,0,0,Yes,Closely Related
Airbnb,iShares Europe ETF,IEV,NYSEARCA,0,NYA,0,8/31/08,8/31/08,8/31/08,8/31/08,8/31/08,8/31/08,45.48,45.48,45.48,45.48,45.48,45.48,47.36,56.68,47.975,55.055,39.65,51.895,488027,488027,488027,488027,488027,488027,228441,961600,351200,573068,103800,2752808,1282.83,1282.83,1282.83,1282.83,1282.83,1282.83,1267.38,1473.99,1303.82,1400.38,1220.33,1330.63,-3.969594595,-17.39169921,-12.36149918,-19.76005646,-5.200625326,14.703657,113.6337172,-14.83960019,-82.27166588,-49.2484401,38.95985194,370.1608863,1.219050324,-8.394150159,-3.592283355,-12.96888039,-1.6098848,5.121565478,0,0,1,No,Less Closely Related
Airbnb,iShares Europe ETF,IEV,NYSEARCA,0,NYA,1,9/30/08,8/31/09,8/31/10,11/30/08,8/31/11,2/28/09,39.86,36.69,33.99,29.28,36.17,23.72,45.48,45.48,45.48,45.48,45.48,45.48,629041,264318,4036695,419273,160156,841831,488027,488027,488027,488027,488027,488027,1166.36,1020.63,1049.33,896.24,1218.89,735.09,1282.83,1282.83,1282.83,1282.83,1282.83,1282.83,-12.35708004,-35.62005277,-47.84520668,-19.32717678,-25.26385224,-20.4705365,28.89471279,-14.08815496,72.49680858,-45.839472,727.1458341,-67.18296324,-9.079145327,-30.13571557,-42.69778537,-20.43918524,-18.20194414,-4.984292541,0,0,1,Yes,Less Closely Related
Bird,Dorel Industries Inc Class B,DIIBF,OTCMKTS,1,OTCQX,0,9/30/17,9/30/17,9/30/17,9/30/17,9/30/17,9/30/17,23.9105,23.9105,23.9105,23.9105,23.9105,23.9105,23.08,26.919,23.5173,25.79,30,23.4,3203,3203,3203,3203,3203,3203,376,65,568,2893,2178,454,2519.36,2519.36,2519.36,2519.36,2519.36,2519.36,2457.59,2168.27,1920.03,2423.41,1972.29,2368.06,3.598353553,-7.287708414,2.181623932,-11.17612096,1.671960642,-20.29833333,751.8617021,10.71552022,605.5066079,4827.692308,463.9084507,47.06152433,2.513437962,3.959297024,6.38919622,16.19217164,31.21461644,27.73780732,0,0,1,No,Closely Related
Bird,Dorel Industries Inc Class B,DIIBF,OTCMKTS,1,OTCQX,1,10/30/17,9/30/18,9/30/19,12/30/17,9/30/20,3/30/18,25.7423,17.83,6.8,24.5872,9.0025,22.5395,23.9105,23.9105,23.9105,23.9105,23.9105,23.9105,450,182,6700,456,8964,636,3203,3203,3203,3203,3203,3203,2572.83,2913.98,2976.74,2673.61,3363,2640.87,2519.36,2519.36,2519.36,2519.36,2519.36,2519.36,7.661069405,2.830137387,-5.733882604,-25.43025031,-71.56061145,-62.34917714,-85.95067125,-85.76334686,-80.14361536,-94.31782704,109.1788948,179.8626288,2.12236441,6.122586689,4.823050298,15.66350184,18.15461069,33.48628223,0,0,1,Yes,Closely Related
Bird,Innospec Inc.,IOSP,NASDAQ,0,IXIC,0,9/30/17,9/30/17,9/30/17,9/30/17,9/30/17,9/30/17,61.65,61.65,61.65,61.65,61.65,61.65,55.2,60.81,46.51,65.55,35.9,63.8,117538,117538,117538,117538,117538,117538,67222,327779,262339,97359,113321,65714,2519.36,2519.36,2519.36,2519.36,2519.36,2519.36,2457.59,2168.27,1920.03,2423.41,1972.29,2368.06,11.68478261,-5.949656751,-3.369905956,1.381351751,32.55213932,71.7270195,74.85049537,20.7263838,78.86295158,-64.14108286,-55.19613935,3.721287317,2.513437962,3.959297024,6.38919622,16.19217164,31.21461644,27.73780732,1,0,0,No,Less Closely Related
Bird,Innospec Inc.,IOSP,NASDAQ,0,IXIC,1,10/30/17,9/30/18,9/30/19,12/30/17,9/30/20,3/30/18,60.95,76.75,89.14,70.6,63.32,68.6,61.65,61.65,61.65,61.65,61.65,61.65,95549,120237,103437,118932,136288,95636,117538,117538,117538,117538,117538,117538,2572.83,2913.98,2976.74,2673.61,3363,2640.87,2519.36,2519.36,2519.36,2519.36,2519.36,2519.36,-1.135442011,14.51743715,11.27331711,24.49310624,44.59042985,2.708840227,-18.70799231,1.185999421,-18.63397369,2.29627865,-11.99697119,15.95228777,2.12236441,6.122586689,4.823050298,15.66350184,18.15461069,33.48628223,1,0,0,Yes,Less Closely Related
Boatsetter,Brunswick Corp,BC,NYSE,1,NYA,0,10/31/12,10/31/12,10/31/12,10/31/12,10/31/12,10/31/12,23.59,23.59,23.59,23.59,23.59,23.59,22.63,17.66,15.81,21.99,9.48,26.29,1002934,1002934,1002934,1002934,1002934,1002934,1204379,2184608,1124158,829653,2390406,1385213,1412.16,1412.16,1412.16,1412.16,1412.16,1412.16,1440.67,1253.3,1183.26,1379.32,1036.2,1397.91,4.24215643,7.276034561,-10.27006466,33.57870895,49.20936116,148.8396624,-16.7260472,20.88596076,-27.59712766,-54.09089411,-10.78353755,-58.04336167,-1.978940354,2.380883334,1.01937893,12.67533711,19.34486081,36.28257093,0,1,0,No,Closely Related
Boatsetter,Brunswick Corp,BC,NYSE,1,NYA,1,11/30/12,10/31/13,10/31/14,1/31/13,10/31/15,4/30/13,25.77,45.13,46.8,36.16,53.81,31.66,23.59,23.59,23.59,23.59,23.59,23.59,678508,1118859,1356586,824993,1347012,1454809,1002934,1002934,1002934,1002934,1002934,1002934,1416.18,1756.54,2018.05,1498.11,2079.36,1597.57,1412.16,1412.16,1412.16,1412.16,1412.16,1412.16,9.2412039,53.28529038,34.20941077,91.30987707,98.38914794,128.1051293,-32.34769187,-17.74204484,45.05530773,11.55858711,35.26174205,34.30714284,0.284670292,6.086420802,13.12953206,24.38675504,42.90519488,47.2467709,0,1,0,Yes,Closely Related
