CI,ISF,NASDAQ,NYSE,Other,one_m_diff_volume,three_m_diff_volume,six_m_diff_volume,one_y_diff_volume,two_y_diff_volume,three_y_diff_volume,one_m_diff_shareprice,three_m_diff_shareprice,six_m_diff_shareprice,one_y_diff_shareprice,two_y_diff_shareprice,three_y_diff_shareprice,Date_End(t=1),Date_End(t=12),Date_End(t=24),Date_End(t=3),Date_End(t=36),Date_End(t=6),Sharing Firm Introduced,Relatedness with Sharing Firm,Exchange
1,0,1,0,0,-27.602685569044795,-28.601259259796404,-12.90630132520312,63.01780291204268,75.87549209050829,-52.58163919245388,8.87682959136367,-14.281477715641408,-17.27269010243845,-36.49265641486246,-25.093053787509863,-10.7420151755779,2008-08-31,2008-08-31,2008-08-31,2008-08-31,2008-08-31,2008-08-31,No,Closely Related,NASDAQ
1,1,1,0,0,219.55935785117583,-45.71757508620999,150.5874466934428,12.873300057201288,42.14871536502002,36.441173174083794,-7.5151409160206715,-40.4822281953701,-49.805154564705795,-14.643252264959381,14.594208243197516,4.927593535313593,2008-09-30,2009-08-31,2010-08-31,2008-11-30,2011-08-31,2009-02-28,Yes,Closely Related,NASDAQ
0,0,0,0,1,113.63371723990001,-14.839600187063315,-82.27166587716978,-49.248440099833616,38.95985193621868,370.1608863198459,-3.9695945945946,-17.391699209881033,-12.361499181038647,-19.760056457304167,-5.200625325690473,14.703656998738962,2008-08-31,2008-08-31,2008-08-31,2008-08-31,2008-08-31,2008-08-31,No,Less Closely Related,Other
0,1,0,0,1,28.89471279252992,-14.088154958639585,72.49680857821392,-45.839471996426425,727.1458341444223,-67.18296323768972,-12.357080035180294,-35.62005277044854,-47.845206684256816,-19.32717678100264,-25.263852242744058,-20.47053649956024,2008-09-30,2009-08-31,2010-08-31,2008-11-30,2011-08-31,2009-02-28,Yes,Less Closely Related,Other
1,0,0,0,1,751.8617021276596,10.715520221223644,605.5066079295154,4827.692307692308,463.9084507042254,47.06152433425161,3.598353552859622,-7.2877084141139985,2.1816239316239336,-11.176120955458975,1.6719606417403368,-20.29833333333334,2017-09-30,2017-09-30,2017-09-30,2017-09-30,2017-09-30,2017-09-30,No,Closely Related,Other
1,1,0,0,1,-85.95067124570714,-85.76334686231658,-80.14361536059944,-94.31782703715267,109.178894786138,179.86262878551358,7.661069404654865,2.8301373873402915,-5.733882603876952,-25.430250308441906,-71.56061144685388,-62.349177139750324,2017-10-30,2018-09-30,2019-09-30,2017-12-30,2020-09-30,2018-03-30,Yes,Closely Related,Other
0,0,1,0,0,74.85049537353842,20.726383796053778,78.86295157805034,-64.14108286375881,-55.196139346418185,3.72128731656092,11.684782608695645,-5.949656750572081,-3.369905956112851,1.3813517513566786,32.55213932487637,71.72701949860725,2017-09-30,2017-09-30,2017-09-30,2017-09-30,2017-09-30,2017-09-30,No,Less Closely Related,NASDAQ
0,1,1,0,0,-18.70799230887032,1.1859994214636969,-18.63397369361398,2.296278650308836,-11.996971192295259,15.9522877707635,-1.1354420113544132,14.517437145174364,11.273317112733164,24.493106244931067,44.5904298459043,2.7088402270884053,2017-10-30,2018-09-30,2019-09-30,2017-12-30,2020-09-30,2018-03-30,Yes,Less Closely Related,NASDAQ
1,0,0,1,0,-16.726047199428088,20.885960757087602,-27.59712766195524,-54.0908941100646,-10.783537545434005,-58.043361671615614,4.242156429518342,7.276034561164173,-10.2700646633701,33.578708946772366,49.20936116382036,148.83966244725738,2012-10-31,2012-10-31,2012-10-31,2012-10-31,2012-10-31,2012-10-31,No,Closely Related,NYSE
1,1,0,1,0,-32.34769187204741,-17.742044840438155,45.05530772712861,11.558587105432661,35.26174204882874,34.307142842898934,9.241203899957608,53.28529037727849,34.20941076727427,91.30987706655364,98.38914794404407,128.10512929207292,2012-11-30,2013-10-31,2014-10-31,2013-01-31,2015-10-31,2013-04-30,Yes,Closely Related,NYSE
